DataID,Language,MWE,Setting,Previous,Target,Next,Label
train_one_shot.EN.147.1,EN,high life,one_shot,PSG ace Marquinhos owns this £170k Ferrari - but hardly drives itCredit: PA:Press Association,"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","In an interview with the French magazine 'So Foot' reported by RMC Sport, he said: ""I bought it when I arrived at PSG, but it's true that I use it very little.",1
train_one_shot.EN.183.1,EN,birth rate,one_shot,Demography expert Piotr Szukalski told Dziennik Gazeta Prawna he thinks that deep concerns about the spread of the coronavirus are to blame.,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,"Commenting on data the state agency Statistics Poland released in December for 11 months of 2020, economist Rafal Mundry said the number of deaths was the highest since World War II, and the number of births the lowest in 15 years.",1
train_one_shot.EN.213.1,EN,home run,one_shot,"Negro Leagues Baseball Museum President Bob Kendrick on Friday reminded fans that Aaron broke with the Milwaukee Braves in 1954, just seven years after Jackie Robinson shattered the color line with the Brooklyn Dodgers.","So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.","This Black man in the deep South was about to break a record that no one really thought could ever be broken and that was not wearing well on a lot of (white) people,” Kendrick told the MLB Network, shortly after getting word of Aaron's passing.",0
train_one_shot.EN.26.1,EN,public service,one_shot,The Nakayama Public Service Scholarship is part of the university's efforts to encourage students to use their Duke experience to engage with the large challenges facing communities around the world.,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,"I think everyone can agree we need to do more to support students with the desire to serve in public service after Duke,"" said Chris Simmons, associate vice president for government relations, who will direct the Nakayama Scholars Program.",0
train_one_shot.EN.26.2,EN,public service,one_shot,He was absolutely right.”,"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",Wennberg said he knew when he ran for his sixth term it would be his last.,1
train_one_shot.EN.154.1,EN,travel guide,one_shot,"Today, Forbes Travel Guide's incognito inspectors travel the world, evaluating properties based on up to 900 rigorous, objective standards.","Forbes Travel Guide also supports the hospitality industry and other service-oriented businesses such as luxury residential, healthcare and private clubs with bespoke training solutions, evaluation services and the creation of custom service standards.","For more information, please visit partner.forbestravelguide.com.",1
train_one_shot.EN.163.1,EN,swan song,one_shot,"The former chief legal officer at Coinbase has said multiple times he believes digital assets and blockchain technology can form the basis for the future of the financial system, a view he reiterated during the seminar.","Blockchains, fundamentally, are banking because what they’re doing is allowing the transaction of value across networks … they’re doing it in an orthogonally different way,"" he said Wednesday in what may be his swan song in public office.","It is unclear who the incoming president, Joe Biden, might tap to replace Brooks.",0
train_one_shot.EN.163.2,EN,swan song,one_shot,"Upcoming films include “Emancipation,” from director Antoine Fuqua and producer and star Will Smith, a deal which rated a $130 million record package sale last year out of Cannes.","They’ve also got:“ Killers of the Flower Moon,” directed by Martin Scorsese and starring Leonardo DiCaprio and Robert De Niro; “Swan Song” with Mahershala Ali, Naomie Harris and Glenn Close and Awkwafina; “Kitbag,” from Ridley Scott and Joaquin Phoenix; A24’s “Sharper” with Julianne Moore; and “Snow Blind” with Jake Gyllenhaal.","Their current awards contenders for this year’s cycle include the animated “Wolfwalkers,” Sofia Coppola’s “On The Rocks,” Tom Hanks’ “Greyhound,” the acclaimed documentary “Boys State,” and Werner Herzog’s “Fireball.”",1
train_one_shot.EN.68.1,EN,banana republic,one_shot,"Meanwhile, many pundits and leading political figures wonder what it will take to restore what they call U.S. moral leadership on the world stage.","The history of the banana republic reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.","The uncomfortable truth is that this history — like the long record of American racism, overt and structural, and the endless involvement in war — demonstrates that violence is as American as apple pie.",0
train_one_shot.EN.68.2,EN,banana republic,one_shot,Attention all 'Mad Men' followers: fans can now sport the latest looks from the popular TV show.,"Beginning in August, Banana Republic is launching their new limited edition 'Mad Men' inspired collection.",The clothing company teamed up with Emmy Award-winning 'Mad Men' Costume Designer Janie Bryant for their latest collection.,1
train_one_shot.EN.67.1,EN,wedding anniversary,one_shot,The veteran actor breathed his last in April last year after two year battle with cancer.,"Today, veteran actress Neetu Kapoor remembered Rishi on their 41stb wedding anniversary.",She shared a montage video of some of her most cherished moments with her late husband.,1
train_one_shot.EN.182.1,EN,bad apple,one_shot,"PEZA has been recognized by both the local and international organizations like the US Department of State, Philippine Statistics Authority (PSA), and the Presidential Communications Operations Office for its best practices and performance during the pandemic.","We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years,"" noted Plaza.",The Director General has already requested for a meeting with BOC Commissioner Rey Leonardo Guerrero to tackle the matter and to strengthen cooperation to prevent the occurrence of any further incident similar to this.,0
train_one_shot.EN.182.2,EN,bad apple,one_shot,"All it takes is a perfunctory listen to the album to hear the obvious influences—that of swampy delta blues and the rustic yet riveting sounds borne from the likes of Robert Johnson, Mississippi John Hurt, Skip James, Hound Dog Taylor, Fred McDowell and Son House in particular.","The original material—“Last Minute Picker,” Can’t Escape,” “Reap What You Sow,” “Bad Apple,” and “Evil Thoughts,” in particular—find Volt varying the pacing while shifting from blustery boogie to insistent shuffles.","Naturally then, the music is propelled with drive, confidence, conviction, and determination.",1
train_one_shot.EN.20.1,EN,panda car,one_shot,"Headteacher Keith Cotgrave said a number of pupils had been deeply shocked by the news and were sent home, others were being offered counselling.",Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a panda car.,The Army truck was parked behind another Army vehicle and soldiers were busy changing a shredded tyre on the front vehicle when the Sierra hit the rear truck.,0
train_one_shot.EN.20.2,EN,panda car,one_shot,"We need to have a system of policing which allows officers to build up and sustain a relationship with the community they serve in and this obviously means having more officers on patrol,"" said Chief Constable Albert Laugharne, who had become head of the force in 1978.","And so it was that on January 1, 1982, that the foot patrols returned and the Panda Car policy went gradually into reverse.","Recently restored to prominence as the magic flying car in the hugely-popular Harry Potter ""Chamber of Secrets"" book and film, the Ford Anglia 105E model that was the bedrock of Lancashire's pioneering Panda fleet was manufactured from 1959 to 1967 and had a top speed of 74 mph.",1
train_one_shot.EN.225.1,EN,eager beaver,one_shot,"After the agents left, Kinnucan sent an email to clients at 12:56 a.m. which he said he was contractually required to send.","Today two fresh faced eager beavers from the FBI showed up unannounced (obviously) on my doorstep thoroughly convinced that my clients have been trading on copious inside information,"" the email said.","They obviously have been recording my cell phone conversations for quite some time, with what motivation I have no idea.)",0
train_one_shot.EN.225.2,EN,eager beaver,one_shot,Despite Darrell's criminal record the judge gives him custody because of Darrell's football hero days and Erin's lack of income.,"Erin, determined to win back custody, takes a job as an exotic dancer at the Eager Beaver where she is protected by Shad (Rhames), the bouncer.","Erin gains fans at the club, one of which is Congressman Dillbeck (Reynolds), who is more than a little zealous in his pursuits.",1
train_one_shot.EN.161.1,EN,rice paper,one_shot,To send a Tyrus Wong Christmas card was to announce the buyer's cosmopolitan flair.,"Hallmark referred to its offerings as ""international symbols of quality and good taste,"" and Wong's cards often came with foil borders, rice paper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card.","Already in 1958, California Artists had promoted Wong's work by suggesting that ""perhaps the reason Tyrus Wong has so rapidly become a favorite Christmas artist is that his paintings are all things to all people.""",0
train_one_shot.EN.11.1,EN,chain reaction,one_shot,"Alex Dinkla told NBC affiliate WHO Thursday that the incident is ""telling us vehicles are traveling way too fast for the conditions and whenever some incident is happening in front of them ... they're unable to slow down in time.""","That's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chain reaction crash,"" Dinkla added.","The accident occurred around the time the Iowa Department of Transportation cautioned residents against travel, as the north and central areas of the state were experiencing their second winter storm.",0
train_one_shot.EN.11.2,EN,chain reaction,one_shot,"However, an innovative breakthrough developed by researchers at Virginia Commonwealth University Massey Cancer Center and the VCU Department of Physics promises to diagnose DNA rearrangement mutations at a fraction of the cost with improved accuracy.","Led by VCU physicist Jason Reed, Ph.D., the team developed a technique that combines a process called digital polymerase chain reaction (dPCR) with high- speed atomic force microscopy (HSAFM) to create an image with such nanoscale resolution that users can measure differences in the lengths of genes in a DNA sequence.","These variations in gene length, known as polymorphisms, can be key to accurately diagnosing many forms of cancer and neurological diseases.",1
train_one_shot.EN.101.1,EN,sex bomb,one_shot,My girlfriend got it for me for Christmas and it's got to be one of the best smelling Lush bombs I've ever used.,My skin smelled so good afterward and I definitely felt like a Sex Bomb!,"Yes, I would recommend to a friend",0
train_one_shot.EN.101.2,EN,sex bomb,one_shot,"Illustration for article titled Baby, you should turn on the Red Army Choirs Sex Bomb cover ","Let’s get this out of the way up front: Nobody, not even the erotic titan Sir Tom Jones OBE himself, can pull off a performance of “Sex Bomb” without looking hilarious in the process.","That said, a recently resurfaced version of the song from Russia’s Red Army Choir and MVD Ensemble takes Jones’ militaristic ode to banging to a level of (thematically appropriate) absurdity that’s stunning to behold.",1
train_one_shot.EN.255.1,EN,health check,one_shot,Illustration for article titled Unarmed Black Man Fatally Shot by Texas Police Officer Responding to Mental Health Check ,"Over the weekend, an unarmed Black man was fatally shot by a police officer in Killeen, Texas, after the officer responded to a call for a mental health check.","Part of the confrontation that led to the shooting, as well as the family’s devastating reaction to it, was recorded by the Ring camera on the residence the officer was called to.",1
train_one_shot.EN.247.1,EN,cotton candy,one_shot,Ariel Winter is digging her latest hair color.,"The “Modern Family” star revealed earlier this month that she dyed her hair ""cotton candy"" pink and she recently debuted longer extensions to complete the new hairstyle.","Winter, 22, flaunted her look on Wednesday with a colorful photo showing the television actress wearing a plunging white shirt, a pink mini skirt to match her hair, and iridescent heels.",0
train_one_shot.EN.247.2,EN,cotton candy,one_shot,"While ""The Masked Singer"" is away, ""The Masked Dancer"" will play in its time slot with the second episode of its first season this Wednesday.","And with the new hour comes the arrival of Group B: Sloth, Ice Cube, Zebra, Cotton Candy and Moth.","In TheWrap's exclusive sneak peek from tomorrow's episode, panelist Brian Austin Green makes a guess about the identity of one of those five dancers based not on their dancing, but on a punctuation mark included in a clue package.",1
train_one_shot.EN.222.1,EN,food market,one_shot,"The profiling enfolds key information of the companies which encompasses business overview, products and services, key financials and recent news and developments.","On the whole, the report depicts detailed overview of the global ready to eat food market that will help industry consultants, equipment manufacturers, existing players searching for expansion opportunities, new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future.",Research Nester is a leading service provider for strategic market research and consulting.,0
train_one_shot.EN.222.2,EN,food market,one_shot,The report studies the competitive environment of the Wet Pet Food Market is based on company profiles and their efforts on increasing product value and production.,Wet Pet Food Market research study involved the extensive usage of both primary and secondary data sources.,"The research process involved the study of various factors affecting the industry, including market environment, competitive landscape, historical data, present trends in the market, technological innovation, upcoming technologies and the technical progress in related industry, and market risks, opportunities, market barriers, and challenges.",1
train_one_shot.EN.130.1,EN,insurance company,one_shot,"Sixth Street also previously invested in UK pensions startup, Clara, and in Lifetri, a Dutch insurer.","In the Talcott transaction, Sixth Street is buying from a group of investors who have worked to grow the insurance company over the past several years, including Cornell Capital LLC, Atlas Merchant Capital LLC, TRB Advisors LP and Global Atlantic Financial Group.","The Talcott Resolution team has a proven ability to initiate, execute, and deliver results and we look forward to continuing what the consortium started through their strategic investment in the company's growth,"" said Waxman.",1
train_one_shot.EN.54.1,EN,pillow slip,one_shot,"She crossed the room to the closet, and opened the door. ","It was empty, but on the floor lay the pillow slip which Sylvia had defended from John so heatedly.",Edna looked at the white bag with some repugnance. ,1
train_one_shot.EN.86.1,EN,dust storm,one_shot,"This process in fact happens naturally when dust blows from the land to the ocean, particularly from deserts such as the Sahara and Patagonia.","But although dust storms are frequent during the Australian spring and summer, and Australian dust has a high iron content, witnessing the oceans bloom has proven elusive.","Now, however, armed with satellite data, we've recorded phytoplankton blooming, almost certainly due to Australian dust storms.",1
train_one_shot.EN.127.1,EN,flower child,one_shot,"Although I bet that DONNA GYLLING (who portrayed Elaine) didn't grow up in Manhattan, she sure sounded like it!","And AMANDA ABRIGHT (as Bobbi Michele) is certainly too young to have been a ""flower child,"" but she bloomed on stage splendidly!",And then there was CINDY SIPLE who played poor Jeanette Fisher who had a hard time even letting go of her purse!,0
train_one_shot.EN.127.2,EN,flower child,one_shot,"Now in your little white room with no windows and three square sedations a day   You plead with the doctor who's running the show   ""please don't take jasmine away and leave me alone.""",About “Incarceration Of A Flower Child”,This is a song originally written in 1968 by Roger Waters.,1
train_one_shot.EN.15.1,EN,economic aid,one_shot,"On Wall Street, the benchmark S&P; 500 index gained 1.6%, recovering some of losses earlier in the week amid frenzied trading of video game retailer GameStop and other stocks targeted by novice day traders.","In Washington, Biden invited 10 moderate Republicans to the White House to discuss his proposed $1.9 trillion economic aid plan.","Republicans earlier countered with an offer of $600 billion, or less than one-third of Biden’s proposed amount.",1
train_one_shot.EN.251.1,EN,fish story,one_shot,"Alan Sears said his son has also advanced to the next Cub Scout level, a Bear.","Armed with his new fishing pole, Brody Sears is likely anxious to land another big one and have another big fish story to tell.",Readers around Glenwood Springs and Garfield County make the Post Independent’s work possible.,0
train_one_shot.EN.251.2,EN,fish story,one_shot,Things to Do  Food & Drink  Arts & Culture  Movies  Travel  Time In  Time Out Market  Love Local  News  More,Children of Jaws' might have been a better title for this teen version of the big fish story.,"The switch in emphasis - away from an adult world in which expert and monster play out their duel, to one where healthy, wealthy but dumb kids are merely terrorised prawns - can't disguise the sense of d eja vu.",1
train_one_shot.EN.118.1,EN,dry land,one_shot,"And so, the ocean beckons.","Excited by the potential of uncovering ancient pasts, researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories, in search of sites that probably would have been destroyed or eroded if they lay on dry land.","You mustn't stop at the shoreline,"" says archaeologist Jonathan Benjamin, who steered the project in Murujuga.",0
train_one_shot.EN.118.2,EN,dry land,one_shot,"Due to the limitations of remote sensing images, LULC was not classified in enough detail.","For example, in the data set, there was no difference between dry land and paddy land.","Therefore, we used cultivated land as a representative and estimated the ESV of cultivated land rather than using separate calculations based on dry land and paddy land14,48.",1
train_one_shot.EN.170.1,EN,private eye,one_shot,Palladino uncovered a deliberate campaign by Big Tobacco to smear the executive following his allegations that tobacco products were spiked with chemicals to make them more addictive.,"The private eye later played himself in ""The Insider,"" the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe.","Mel Honowitz, Palladino's lawyer, told the San Franciso Chronicle: ""He investigated his own murder.",0
train_one_shot.EN.170.2,EN,private eye,one_shot,It depends how this interview goes down',"With time running out, I finish off my Hislop interview with some quickfire questions about life at Private Eye and the editor's future at the magazine.",Have you lost many friends because of coverage in the Eye?,1
train_one_shot.EN.144.1,EN,bow tie,one_shot,He liked the look and made them a part of his royal wardrobe.,"While the popularity of ties has waxed and waned over the last few centuries, the bow tie business is strong in 2011, as the piece of apparel is fashionable for both formal and casual dress.","Running a bow tie business is similar to running other clothing businesses, though bow tie business owners or operations managers should always be looking for new opportunities to grow the business and expand into new markets.",1
train_one_shot.EN.270.1,EN,closed book,one_shot,"For some, the answer is nothing.",His release is just another chapter in a closed book on one part of Detroit’s storied history.,"For those who didn’t do their homework, Kilpatrick became a convenient poster child of Detroit’s downfall, overlooking variables like a declining population and tax base, and its peripheral impact that spelled trouble for decades.",0
train_one_shot.EN.270.2,EN,closed book,one_shot,This will enrich your student experience and support your learning.,Assessments will consist of two hour closed book examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions.,"The programme will use a block teaching timetable, operating over two weekdays for the Full Time mode and online for the Part Time mode (including some interactive sessions).",1
train_one_shot.EN.267.1,EN,mental disorder,one_shot,"Specifically, the language of the bill states that the DOC may permit an offender committed to the department to remain within a treatment facility operated by the department for no longer than 14 days past their mandatory release date under certain circumstances.",One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department.,Another is if the department made a good faith effort to timely place the offender in a treatment setting outside the department on or before the offender’s mandatory release date.,1
train_one_shot.EN.104.1,EN,bad hat,one_shot,The disapproval is literally of the hats.,The moral character of a bad hat is secondary.,"Shocking, used as a quasi-adverb like this, was thought a vulgarism (though Wellington wouldn’t have minded).",0
train_one_shot.EN.104.2,EN,bad hat,one_shot,Anthony Sellitti is a writer and director with a diverse range of projects.,"After graduating from The School of Visual Arts in New York, Sellitti moved to Los Angeles, where he interned for Bryan Singer's production company, 'Bad Hat Harry' as well as Steven Spielberg's company, 'Dreamworks.'","Soon after, he began working with Dan Harris (X-Men: Apocalypse, Superman Returns, X2) as an assistant, and then began collaborating with the X-Men scribe on several film and TV projects as a co-writer.",1
